repo,average_avg_lines_added_to_files,average_code_churn_avg,average_code_churn_max,average_code_churn_total,average_contributor_experience,average_contributors,average_dmm_method_cyclomatic_complexity,average_dmm_method_lines_of_code,average_dmm_method_number_of_parameters,average_files_modified_per_commit,average_history_complexity,average_hunks,average_lines_added_per_commit,average_lines_added_to_files,average_lines_deleted_from_files,average_lines_deleted_per_commit,average_minor_contributors,change_set_avg,change_set_max,developer_count,developers,files_modified,lines_added,lines_deleted,repo_url,total_commits
NeuraL-Coverage,3957.627906976744,3956.546511627907,3962.081395348837,3962.5697674418607,99.67210884353742,1.0476190476190477,0.7955242596522346,0.5601964306829235,0.6063544540461624,7.555555555555555,0.3875510204081631,0.872093023255814,25284.777777777777,3969.122093023256,6.5523255813953485,41.74074074074074,0.0408163265306122,8,139,3,"['Yuanyuan Yuan', 'ooorin', 'Leonard Schenk']",204,682689,1127,https://github.com/Yuanyuan-Yuan/NeuraL-Coverage,27
OpenVocabCodeNLM,89.36363636363636,88.81818181818181,268.3636363636364,313.3636363636364,99.21666666666668,1.3333333333333333,0.8943175815779022,0.8647448494733322,0.87584389598221,1.028169014084507,5.337777777777778,0.9090909090909092,27.5774647887324,356.0,42.63636363636363,3.3028169014084505,0.3333333333333333,1,5,4,"['Rafael-Michael Karampatsis', 'mpatsis', 'Rafael Karampatsis', 'Hlib']",146,3916,469,https://github.com/mast-group/OpenVocabCodeNLM,142
PAMDroid,102.55970149253731,102.55970149253731,102.55970149253731,102.55970149253731,100.0,1.0,0.0189393939393939,0.0189393939393939,1.0,33.5,4.644615384615384,2.253731343283582,3435.75,102.55970149253731,0.0,0.0,0.0,34,131,1,['Xueling Zhang'],134,13743,0,https://github.com/XuelingZhang19/PAMDroid,4
PLELog,1699.408163265306,1619.3265306122448,1714.204081632653,75.81632653061224,97.92978260869566,1.065217391304348,0.4961534852260676,0.5753231757062345,0.4764599273980084,4.375,0.585,1.0510204081632653,3533.5416666666665,1730.7142857142858,1654.8979591836735,3378.75,0.0217391304347826,4,26,3,"['LinYang', 'YangLin-George', 'Lin Yang']",105,84805,81090,https://github.com/LeonYang95/PLELog,24
POSIT,54.13725490196079,53.03921568627451,77.19607843137256,75.70588235294117,98.18595238095236,1.1428571428571428,0.6519685039370079,0.6131233595800525,0.8412073490813649,2.358974358974359,1.887857142857143,0.9901960784313726,107.87179487179488,82.49019607843137,6.784313725490196,8.871794871794872,0.0714285714285714,2,32,2,"['Profir-Petru Partachi', 'Profir-Petru Pârțachi']",92,4207,346,https://github.com/PPPI/POSIT,39
Parfait-ML,968.551724137931,968.3448275862067,1857.5689655172407,1858.9827586206893,98.51703703703704,1.2407407407407407,0.2708404704807582,0.2149708804385063,0.1577595066803699,6.0,0.7455555555555555,1.0344827586206895,8295.692307692309,1859.379310344828,0.396551724137931,1.7692307692307692,0.1111111111111111,6,55,4,"['tizpaz', 'pennswood', 'Saeid Tizpaz Niari', 'Pennswood']",78,107844,23,https://github.com/Tizpaz/Parfait-ML,13
ProvBuild,191.30700179533213,188.9820466786356,222.6876122082585,39.050269299820464,99.95905123339658,1.0037950664136623,0.8029414990975468,0.7207637364966251,0.7467711505402165,12.640350877192985,0.0975332068311194,1.1490125673249552,1144.859649122807,234.3159784560144,195.2657091561939,954.061403508772,0.0018975332068311,13,354,3,"['Crystal Hu', 'CrystalMei', 'Jingmei Hu']",1441,130514,108763,https://github.com/jingmeihu/ProvBuild,114
PyART-demo,837.3210308622336,837.1250397709196,838.532612153993,838.5450206808781,99.9980855959503,1.0009203865623562,0.7178150322365764,0.6512449676904768,0.6998638593232608,139.56521739130434,0.0187850897376898,0.7101495386573338,114661.73913043478,839.0773146675151,0.532293986636971,72.73913043478261,0.0009203865623561,140,2422,1,['PYART0'],3210,2637220,1673,https://github.com/PYART0/PyART-demo,23
PyCG,5.234856535600425,4.77470775770457,9.92136025504782,9.682252922422954,97.46917480998914,1.209554831704669,0.850584281998313,0.7820265882456012,0.8806108219652877,11.51931330472103,0.0723669923995659,0.8405951115834219,66.52789699570816,16.47290116896918,6.790648246546227,27.42489270386266,0.0314875135722041,12,412,7,"['Vitalis Salis', 'Tomas Pytel', 'Mryanhehe', 'x439xu', 'gdrosos', 'Giorgos Drosos', 'Ashwin Prasad']",2684,15501,6390,https://github.com/vitsalis/PyCG,233
ReMoS_artifact,396.3447293447293,396.3447293447293,396.7692307692308,396.7692307692308,100.0,1.0,0.3557762881049077,0.2017908695013945,0.3288153838626021,176.0,0.2208455882352946,0.7749287749287749,69633.5,396.7720797720798,0.0028490028490028,0.5,0.0,176,351,2,"['zzq', 'Ziqi Zhang']",352,139267,1,https://github.com/PKU-ASAL/ReMoS_artifact,2
